"TEST_NAME","Pearson Correlation 8-hour","Pearson Correlation 24-hour","Spearman Correlation 8-hour","Spearman Correlation 24-hour","8-Hour Min","8-Hour Max","8-Hour Bias","8-Hour Min Difference","8-Hour Max Difference","8-Hour Median Bias","8-Hour Mean Percent Error","8-Hour Median Percent Error","8-Hour Mean log Bias","8-Hour Uncertainty as Percent Error","8-Hour SQRT Bias","8-Hour Cubic Root Bias","8-Hour SD","8-Hour log SD","8-Hour SQRT SD","8-Hour Cubic Root SD","8-Hour LOA Lower","8-Hour LOA Upper","8-Hour LOA 2.5%","8-Hour LOA 97.5%","8-Hour LOA Log Lower","8-Hour LOA Log Upper","8-Hour LOA SQRT Lower","8-Hour LOA SQRT Upper","8-Hour LOA Cubic Root Lower","8-Hour LOA Cubic Root Upper","24-Hour Min","24-Hour Max","24-Hour Bias","24-Hour Median Bias","24-Hour Mean Percent Error","24-Hour Median Percent Error","24-Hour Uncertainty as Percent Error","24-Hour Mean log Bias","24-Hour SQRT Bias","24-Hour SD","24-Hour log SD","24-Hour LOA Lower","24-Hour LOA Upper","24-Hour LOA 2.5%","24-Hour LOA 97.5%","24-Hour LOA Log Lower","24-Hour LOA Log Upper","8-Hour Precision","24-Hour Precision","SE 8-Hour Bias","SE 24-Hour Bias","SE 8-Hour LOA","SE 24-Hour LOA","8-Hour Bias 95% Upper CI","8-Hour Bias 95% Lower CI","24-Hour Bias 95% Upper CI","24-Hour Bias 95% Lower CI","8-Hour 95% Upper CI Top","8-Hour 95% Upper CI Bottom","8-Hour 95% Lower CI Top","8-Hour 95% Lower CI Bottom","24-Hour 95% Upper CI Top","24-Hour 95% Upper CI Bottom","24-Hour 95% Lower CI Top","24-Hour 95% Lower CI Bottom","8-Hour Bias CI","24-Hour Bias CI","8-Hour Shapiro Wilks","24-Hour Shapiro Wilks","8-Hour Skewness","24-Hour Skewness","8-Hour Kurtosis","24-Hour Kurtosis","MDL","PQL","Mean Uncertainty","8-Hour Wilcox Ranked Sign","24-Hour Wilcox Ranked Sign","8-Hour Exceedences","24-Hour Exceedences","8-Hour Inside Line of Equality","24-Hour Inside Line of Equality","8-Hour Exceedences 20% RPD","24-Hour Exceedences 20% RPD"
"CA",0.9969,0.9932,0.9799,0.9806,29,82.2,0.0361,-3.7,2.2,0,1.468,1.0786,1.0023,8.8299,0.0054,0.0022,1.2257,0.0088,0.0772,0.026,-2.3663,2.4385,-3.8486,3.3499,0.9633,1.0429,-0.1459,0.1568,-0.0487,0.0532,31.4,82.8,0.0083,1.2,2.2746,0.1531,8.7936,0.9991,-0.001,1.709,0.0129,-3.3413,3.358,-6.8486,4.9078,0.9426,1.059,"+/- 2.4024","+/- 3.34964",0.2043,0.2848,0.3196,0.3774,0.4508,-0.3786,0.5865,-0.5699,3.0873,1.7897,-1.7175,-3.0151,4.1241,2.5919,-2.5752,-4.1074,"-0.5699 to 0.4508","-0.5699 to 0.5865",0.0701,0.6572,-0.8068,-0.2888,4.3858,3.2999,0.3,1.2,5.8639,0.626,0.8313,0,1,"Inside","Inside",0,0
"CL",0.9968,0.9959,0.9836,0.9827,59.6,169,-0.0056,-6.9,6,0.05,2.1796,1.2422,0.9965,4.6816,-0.0082,-0.0034,3.1192,0.0144,0.1575,0.0494,-6.1192,6.1081,-9.3681,4.7291,0.9338,1.0634,-0.3169,0.3005,-0.1003,0.0934,65.4,167,-0.3389,1,2.8297,-0.3659,4.6867,0.9893,-0.0342,3.783,0.0192,-7.7536,7.0758,-9.8219,6.3889,0.9072,1.0788,"+/- 6.11365","+/- 7.41468",0.5199,0.6305,0.5098,0.5615,1.0497,-1.0609,0.941,-1.6188,7.1431,5.0731,-5.0842,-7.1542,8.2156,5.936,-6.6138,-8.8934,"-1.6188 to 1.0497","-1.6188 to 0.941",0.0804,0.001,0.0646,0.3397,3.0262,3.3058,0.1,0.4,4.9167,0.8249,0.1912,3,9,"Inside","Inside",0,0
"COLOR",0.9938,0.9926,0.9798,0.9791,56,93,-0.5278,-5,2,0,1.1868,1.2147,0.9931,17.7469,-0.0301,-0.0097,1.2302,0.0071,0.0702,0.0228,-2.939,1.8834,-3.5595,1.7984,0.9618,1.0254,-0.1677,0.1075,-0.0544,0.0349,56,92,-0.25,1,1.3324,0,17.7968,0.9965,-0.0148,1.273,0.0081,-2.7451,2.2451,-4.3234,3.2899,0.9607,1.0336,"+/- 2.4112","+/- 2.49508",0.205,0.2122,0.3202,0.3257,-0.1116,-0.944,0.1807,-0.6807,2.5334,1.2334,-2.289,-3.589,2.9063,1.5839,-2.0839,-3.4063,"-0.6807 to -0.1116","-0.6807 to 0.1807",0.0005,0.0284,-1.1491,0.1421,6.2582,3.4843,1,4,12.75,0.0148,0.2536,0,0,"Outside","Inside",0,0
"DOC",0.9846,0.9931,0.9771,0.957,21.8,38.2,-0.1083,-2.8,1.6,0.1,1.8869,1.3087,0.997,7.8644,-0.009,-0.0033,0.9126,0.012,0.0791,0.0295,-1.897,1.6804,-7.541,3.3495,0.9445,1.0525,-0.164,0.1461,-0.0611,0.0545,21.5,36.7,-0.1972,0.4,1.7704,-0.6473,7.8748,0.992,-0.0199,0.592,0.0093,-1.3575,0.9631,-4.3224,3.4619,0.9512,1.0345,"+/- 1.7887","+/- 1.16032",0.1521,0.0987,0.2758,0.2221,0.2005,-0.4171,0.0031,-0.3975,2.2402,1.1206,-1.3372,-2.4568,1.414,0.5122,-0.9067,-1.8084,"-0.3975 to 0.2005","-0.3975 to 0.0031",0.0001,0.6352,-1.5088,0.3335,5.6884,2.9449,0.8,2,2.1778,0.8791,0.0385,2,0,"Inside","Inside",0,0
"K",0.9971,0.9938,0.9807,0.9779,5.5,10.7,-0.0083,-0.4,0.2,0,1.1841,1.2659,0.9991,8.0668,-0.0014,-0.0006,0.1251,0.0071,0.0225,0.0107,-0.2535,0.2369,-3.0145,2.8968,0.9676,1.0317,-0.0455,0.0427,-0.0216,0.0203,5.5,10.6,-0.0361,0.1,1.7462,0,7.946,0.994,-0.0074,0.187,0.0105,-0.4026,0.3304,-5.1201,4.107,0.948,1.0423,"+/- 0.2452","+/- 0.36652",0.0208,0.0312,0.1021,0.1248,0.034,-0.0506,0.0272,-0.0994,0.4442,0.0296,-0.0462,-0.4608,0.5838,0.077,-0.1492,-0.656,"-0.0994 to 0.034","-0.0994 to 0.0272",0.0031,0.0871,-0.4635,0.511,4.1108,3.6799,0.1,0.4,0.6361,0.9782,0.2238,0,0,"Inside","Inside",0,0
"MG",0.9991,0.9981,0.993,0.982,11,34.1,0.0139,-0.8,0.7,0.1,1.3028,0.8904,1.0021,7.0449,0.0029,0.0014,0.3296,0.0071,0.0355,0.0144,-0.6321,0.6599,-3.0527,3.1808,0.9705,1.0348,-0.0667,0.0725,-0.0268,0.0296,11.2,34.4,0.0306,0.3,1.7255,0,7.0581,0.9992,0.001,0.485,0.0107,-0.92,0.9812,-6.1212,4.3275,0.9521,1.0487,"+/- 0.646","+/- 0.9506",0.0549,0.0808,0.1657,0.201,0.1254,-0.0976,0.1947,-0.1335,0.9963,0.3235,-0.2957,-0.9685,1.3893,0.573,-0.5119,-1.3282,"-0.1335 to 0.1254","-0.1335 to 0.1947",0.1656,0.0497,-0.5562,0.8968,3.1628,4.3453,0.1,0.4,1.5639,0.5379,0.8004,0,0,"Inside","Inside",0,0
"NA",0.9991,0.998,0.9898,0.9837,37,112.6,0.0167,-2.5,2.6,0,1.3556,1.0285,1.0011,7.3254,0.0024,0.001,1.2075,0.0082,0.0727,0.0243,-2.35,2.3834,-3.6651,3.381,0.9647,1.0388,-0.1401,0.1449,-0.0466,0.0486,37,113.6,-0.0472,1.05,2.0962,-0.129,7.3224,0.9973,-0.0065,1.76,0.012,-3.4968,3.4024,-6.8414,4.3391,0.9447,1.0528,"+/- 2.3667","+/- 3.4496",0.2013,0.2933,0.3172,0.383,0.4252,-0.3918,0.5483,-0.6427,3.0273,1.7395,-1.7061,-2.9939,4.1798,2.6249,-2.7194,-4.2743,"-0.6427 to 0.4252","-0.6427 to 0.5483",0.5517,0.8333,0.2143,0.2233,2.898,3.1348,0.4,1.6,5.0389,0.9455,0.857,0,1,"Inside","Inside",0,0
"NH4",0.9995,0.9996,0.9667,0.956,0.012,1.073,0.0017,-0.03,0.041,0.001,11.9784,7.1219,1.0266,15.6173,0.0022,0.0025,0.011,0.086,0.0209,0.0231,-0.0198,0.0233,-28.1388,35.3535,0.6964,1.5135,-0.0388,0.0431,-0.0428,0.0478,0.012,1.071,0.0035,0.004,12.8331,1.7946,16.1416,1.0653,0.0061,0.009,0.0956,-0.0141,0.0211,-20.6068,53.5088,0.692,1.6401,"+/- 0.02155","+/- 0.01764",0.0018,0.0015,0.0303,0.0274,0.0054,-0.002,0.0065,0.0005,0.0848,-0.0382,0.0417,-0.0813,0.0767,-0.0345,0.0415,-0.0697,"0.0005 to 0.0054","0.0005 to 0.0065",0.0001,0,0.8794,2.4423,7.5607,11.7642,0.005,0.01,0.0116,0.3783,0.0354,5,6,"Inside","Outside",7,5
"NO2",0.7073,0.7584,0.7712,0.7422,0.002,0.008,0.0001,-0.004,0.002,0,13.468,0,1.0239,74.6759,0.0006,0.0011,0.0011,0.1281,0.0086,0.0147,-0.0021,0.0022,-66.6667,66.6667,0.5744,1.8254,-0.0163,0.0175,-0.0277,0.0299,0.002,0.006,0.0001,0,13.468,0,73.9815,1.0239,0.0008,0.001,0.1281,-0.0018,0.0021,-66.6667,66.6667,0.5744,1.8254,"+/- 0.00215","+/- 0.00196",0.0002,0.0002,0.0096,0.0091,0.0005,-0.0003,0.0004,-0.0002,0.0216,-0.0172,0.0173,-0.0215,0.0206,-0.0165,0.0167,-0.0204,"-0.0002 to 0.0005","-0.0002 to 0.0004",0,0,-1.3969,-0.2171,7.9709,4.7544,0.002,0.004,0.002,0.7551,0.6364,1,0,"Inside","Inside",9,9
"NOX",0.9995,0.9994,0.9846,0.9974,0.005,0.272,0.0002,-0.005,0.012,0,4.1645,0,0.9798,56.5622,-0.0008,-0.0013,0.0031,0.0562,0.0068,0.0092,-0.0059,0.0063,-21.7949,7.0378,0.7603,1.2627,-0.0141,0.0125,-0.0194,0.0167,0.005,0.281,-0.0006,0,3.6459,0,57.5367,0.9795,-0.0018,0.002,0.0331,-0.0045,0.0034,-22.3856,6.4222,0.8436,1.1373,"+/- 0.0061","+/- 0.00392",0.0005,0.0003,0.0161,0.0129,0.0012,-0.0008,0.0001,-0.0013,0.0389,-0.0263,0.0267,-0.0385,0.0296,-0.0228,0.0217,-0.0307,"-0.0013 to 0.0012","-0.0013 to 0.0001",0,0,2.2742,-1.1841,10.0159,4.7565,0.005,0.01,0.0061,0.7258,0.1955,0,3,"Inside","Inside",2,3
